seed,setting,metric,estimate,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_n
42,tta,accuracy,0.9630666666666666,0.9601333333333333,0.9661333333333333,1000
42,tta,precision,0.9595130987033607,0.9552536438414388,0.9635864592388308,1000
42,tta,recall,0.9669333333333333,0.9629374577092602,0.970933254493236,1000
42,tta,f1,0.9632089254881128,0.960176540313484,0.9662853688880776,1000
42,tta,auc,0.992935128888889,0.9917874055526011,0.9940056878640997,1000
42,tta,eer,0.03600000000000002,0.033133311053886685,0.039332626764373047,1000
42,tta,tpr_at_1pct_fpr,0.9210666666666667,0.9082916124286513,0.9322677765433434,1000
42,tta,tpr_at_0_1pct_fpr,0.8018666666666666,0.7440518859756953,0.833750337472305,1000
42,tta,ece,0.015149459950004978,0.013075917011836259,0.018171492705948995,1000
42,tta,brier,0.028177163362415922,0.026302609005100733,0.02989758920450896,1000
