setting,metric,mean,std,ci95_low,ci95_high,ci95_half_width,n
standard,accuracy,0.9561777777777779,0.0031814275854530156,0.9482746735352541,0.9640808820203017,0.00790310424252385,3
standard,precision,0.9636917242679822,0.008372682702707317,0.9428928274168851,0.9844906211190794,0.02079889685109712,3
standard,recall,0.9482222222222223,0.015373474028458994,0.9100323956260769,0.9864120488183677,0.03818982659614548,3
standard,f1,0.9557960551735222,0.0037298251481785003,0.9465306558643487,0.9650614544826956,0.009265399309173425,3
standard,auc,0.9919909985185186,0.0010492653573101317,0.9893844788746933,0.9945975181623439,0.002606519643825308,3
standard,eer,0.04397777777777778,0.005014792931731894,0.031520341538975094,0.05643521401658047,0.01245743623880269,3
standard,tpr_at_1pct_fpr,0.9030666666666667,0.011830656974337708,0.873677685520827,0.9324556478125063,0.029388981145839606,3
standard,tpr_at_0_1pct_fpr,0.7459111111111111,0.03160150019880094,0.6674086327164318,0.8244135895057904,0.07850247839467926,3
standard,ece,0.01058875688711801,0.001111256008264525,0.007828243929475152,0.01334926984476087,0.0027605129576428592,3
standard,brier,0.032573241739967,0.002913157695646843,0.025336556847662832,0.03980992663227117,0.007236684892304168,3
tta,accuracy,0.9605555555555556,0.002760300574078686,0.9536985888034628,0.9674125223076484,0.006856966752092824,3
tta,precision,0.9679449523681528,0.00837885095932921,0.947130732718165,0.9887591720181407,0.020814219649987895,3
tta,recall,0.9527999999999999,0.014478182820291306,0.9168342000571459,0.9887657999428539,0.035965799942853975,3
tta,f1,0.9602217471253249,0.003255189524478541,0.952135408068369,0.9683080861822808,0.008086339056955875,3
tta,auc,0.9931663762962963,0.0009712967472845637,0.9907535414169756,0.9955792111756171,0.0024128348793207555,3
tta,eer,0.04020000000000001,0.0041999999999999885,0.029766621610256276,0.05063337838974374,0.010433378389743732,3
tta,tpr_at_1pct_fpr,0.9161777777777779,0.004286067004885769,0.9055305970954519,0.9268249584601038,0.010647180682325941,3
tta,tpr_at_0_1pct_fpr,0.7580888888888889,0.04462273129413019,0.6472398792756697,0.8689378985021081,0.1108490096132192,3
tta,ece,0.014373791067861024,0.0033664769893204686,0.00601099862263583,0.022736583513086217,0.008362792445225194,3
tta,brier,0.029934725751070822,0.0022492807470187648,0.02434720262287742,0.03552224887926422,0.005587523128193402,3
