setting,metric,mean ± std,95% CI,n_seeds
standard,accuracy,0.9562 ± 0.0032,"[0.9483, 0.9641]",3
standard,precision,0.9637 ± 0.0084,"[0.9429, 0.9845]",3
standard,recall,0.9482 ± 0.0154,"[0.9100, 0.9864]",3
standard,f1,0.9558 ± 0.0037,"[0.9465, 0.9651]",3
standard,auc,0.9920 ± 0.0010,"[0.9894, 0.9946]",3
standard,eer,0.0440 ± 0.0050,"[0.0315, 0.0564]",3
standard,tpr_at_1pct_fpr,0.9031 ± 0.0118,"[0.8737, 0.9325]",3
standard,tpr_at_0_1pct_fpr,0.7459 ± 0.0316,"[0.6674, 0.8244]",3
standard,ece,0.0106 ± 0.0011,"[0.0078, 0.0133]",3
standard,brier,0.0326 ± 0.0029,"[0.0253, 0.0398]",3
tta,accuracy,0.9606 ± 0.0028,"[0.9537, 0.9674]",3
tta,precision,0.9679 ± 0.0084,"[0.9471, 0.9888]",3
tta,recall,0.9528 ± 0.0145,"[0.9168, 0.9888]",3
tta,f1,0.9602 ± 0.0033,"[0.9521, 0.9683]",3
tta,auc,0.9932 ± 0.0010,"[0.9908, 0.9956]",3
tta,eer,0.0402 ± 0.0042,"[0.0298, 0.0506]",3
tta,tpr_at_1pct_fpr,0.9162 ± 0.0043,"[0.9055, 0.9268]",3
tta,tpr_at_0_1pct_fpr,0.7581 ± 0.0446,"[0.6472, 0.8689]",3
tta,ece,0.0144 ± 0.0034,"[0.0060, 0.0227]",3
tta,brier,0.0299 ± 0.0022,"[0.0243, 0.0355]",3
